coded_country,polStab,povRate,ghs,GDP
Indonesia,-0.51,9.4,50.4,1186092
Madagascar,-0.64,70.7,30.4,14472
Papua New Guinea,-0.58,39.9,25,26594
South Korea,0.66,15.1,65.4,1810955
Russian federation,-0.65,12.6,49.1,1778782
Saudi Arabia,-0.58,12.7,44.9,833541
Thailand,-0.55,9.9,68.2,505947
China,-0.48,0.6,57.5,17734062
Angola,-0.71,32.3,29.1,67404
Australia,0.85,12.4,71.1,1552667
Malaysia,0.14,5.6,56.4,372980
Canada,0.94,11.6,69.8,1988336
Tunisia ,-0.7,15.2,31.5,46686
Vietnam ,-0.11,6.7,42.9,366137
Japan,1.03,15.6,60.5,4940877
Philippines,-0.93,16.7,45.7,394086
India,-0.62,21.9,42.8,3176295
Mexico,-0.64,41.9,57,1272839
Netherlands,0.92,13.6,65.7,1012846
Turkey,-1.1,14.4,50,819035
Switzerland,1.13,16,58.8,800640
